ano;mes;amazonia;caatinga;cerrado;mata_atlantica;pampa;pantanal;total_mensal;presidente;date
2010; 2; 1295;  124;   287; 255;   1;   83;  2045;lula;fev 2010
2010; 3;  643;   70;   438; 158;  14;   77;  1400;lula;mar 2010
2010; 4;  659;   20;  2456; 456; 105;  222;  3918;lula;abr 2010
2010; 5; 1782;  389;  8749; 661;  95;   64; 11740;lula;mai 2010
2010; 6; 2305;  376; 19283;3048;  79; 1290; 26381;lula;jun 2010
2010; 7; 5467; 1797; 40451;5417; 141; 1358; 54631;lula;jul 2010
2010; 8;43187; 4149; 77548;5027; 271; 2542;132724;lula;ago 2010
2010; 9;39324;10813;123410;4932;  34; 6989;185502;lula;set 2010
2010;10;10948;21834; 28644;2386;  33; 3059; 66904;lula;out 2010
2010;11; 4072; 9894;  2501; 305;   5;  517; 17294;lula;nov 2010
2010;12; 1774; 1197;   886; 103;  25; 1496;  5481;lula;dez 2010
2011; 1;   68;   22;    73;  41;   3;   84;   291;dilma;jan 2011
2011; 2;  928;   14;   101;  90;   0;    4;  1137;dilma;fev 2011
2011; 3;   97;   13;   173;  98;   7;    0;   388;dilma;mar 2011
2011; 4;  484;   51;   896; 115;  55;    2;  1603;dilma;abr 2011
2011; 5;  981;   92;  3358; 644; 144;   13;  5232;dilma;mai 2011
2011; 6; 1388;  690;  9115;1234; 158;   59; 12644;dilma;jun 2011
2011; 7; 2023;  558; 15969;6783; 253;  262; 25848;dilma;jul 2011
2011; 8; 6630; 2451; 32000;3992; 144;  695; 45912;dilma;ago 2011
2011; 9;13333; 4003; 61204;5195;  44; 2117; 85896;dilma;set 2011
2011;10; 5110; 9492; 10714;1170;   8; 1003; 27497;dilma;out 2011
2011;11; 2991; 4894;   820; 228;  11; 1618; 10562;dilma;nov 2011
2011;12; 6524; 2411;   565; 123;   3; 1114; 10740;dilma;dez 2011
2012; 1; 2356;  917;   131;  96;  47;  237;  3784;dilma;jan 2012
2012; 2;  327;   39;   268; 107;  38;  137;   916;dilma;fev 2012
2012; 3;  335;  274;   742; 363;  44;  157;  1915;dilma;mar 2012
2012; 4;  368;  782;  1578; 423;  27;   61;  3239;dilma;abr 2012
2012; 5; 1223; 1743;  5964;1249; 761;  192; 11132;dilma;mai 2012
2012; 6; 2566; 1989; 14039;1042; 440;  159; 20235;dilma;jun 2012
2012; 7; 2461; 2704; 25380;1637; 349;  841; 33372;dilma;jul 2012
2012; 8;15856; 3840; 58899;2733; 236; 4433; 85997;dilma;ago 2012
2012; 9;18648; 7040; 84109;3541;  13; 4893;118244;dilma;set 2012
2012;10; 8323;17685; 52533;3700;   6; 1734; 83981;dilma;out 2012
2012;11;11893; 4495;  2347; 534;   3;  241; 19513;dilma;nov 2012
2012;12; 2510; 5028;  1461; 286;   6;  181;  9472;dilma;dez 2012
2013; 1; 3967;  313;   190; 173;  11;  120;  4774;dilma;jan 2013
2013; 2;  114;   91;   427; 184;  35;  102;   953;dilma;fev 2013
2013; 3;  652;  185;   387; 287;  69;  200;  1780;dilma;mar 2013
2013; 4;  295;  240;   612; 192;  21;   62;  1422;dilma;abr 2013
2013; 5; 1366;  167;  3938; 751;  61;   98;  6381;dilma;mai 2013
2013; 6; 2287;  521;  7259; 604;  42;   59; 10772;dilma;jun 2013
2013; 7; 1849;  769; 12698;2671; 303;  147; 18437;dilma;jul 2013
2013; 8; 6271; 1935; 25972;2234; 165;  430; 37007;dilma;ago 2013
